site_no,lon,lat
07024000,-88.8270730808177,36.5847594325219
07025500,-88.5994973611119,36.4373904290892
07026000,-88.6899484281893,36.2241179823386
07026040,-88.6967492104598,36.2249522194048
07026500,-89.2030416649068,36.4470776145598
07028000,-88.882417492175,35.5883586427121
07029000,-88.7824448150919,35.769791470377
07030000,-88.8423555380895,35.0971209525525
07030500,-89.2703617774145,35.0050588221732
07047950,-90.8660184800714,35.3431484711559
07078000,-91.5355093475758,34.6616465212374
07264000,-92.1533404947397,34.8686168413363
07276000,-89.5572642325522,34.8835787786524
07277500,-89.6813819935575,34.8199387368554
07288500,-90.6320603723566,34.0314260032042
07290000,-89.8666225585751,32.9971101449335
07294500,-90.9429176554203,31.4809225295324
07362500,-92.4778545837271,33.9474114343233
07363500,-92.4976572256425,34.32387061701
07364300,-91.7869991306105,33.1508608646185
07364700,-92.5810456647191,33.1020199401427
07365000,-92.8862868524459,32.7118914021071
07365500,-92.8953211708356,32.8701781351911
07365800,-93.0422401441377,33.1786400438708
07365900,-92.9012286681464,33.1483814887088
07369700,-91.2789806618915,33.5621926564975
07370500,-92.3673553599372,32.2795627716661
07371500,-92.7535959972138,32.3789951903682
07372000,-92.7544629969565,32.2577683578745
07372200,-92.514091322817,32.125727736181
07372500,-92.1310943272617,31.7894277881335
07373000,-92.48279868947,31.5735428575046
07381800,-92.6373603637655,31.099637721325
08013000,-92.9460617772172,31.2267326523145
08013500,-92.8756080765826,31.0961229645355
08014000,-92.9653736317725,30.9822496970698
08014200,-92.8452332755416,30.9761032661878
08014500,-92.983720393997,30.9485889642228
08014800,-93.2305896425936,30.9349087540917
08015500,-92.9602822263092,30.9589749580217
08016400,-93.3861854584525,30.658668871544
08016600,-93.2892826114888,30.6179771417477
08016800,-93.5371316704679,30.5359135258792
07348700,-93.3324682002096,33.2756094425062
07348800,-93.1873874273195,32.7836640874764
07349430,-93.5248176936185,33.5310405734672
07351900,-93.4045954795539,31.6990394098308
07352000,-92.9621529627885,32.4058328256257
07352500,-93.1153461431115,32.5132140426812
07352800,-93.3225700983983,32.190983123173
07353500,-92.8538344517149,31.7696031800045
07354000,-93.2147901313382,31.3761132124418
07354500,-93.2241293680213,31.6170891251791
07355005,-92.7318654841335,31.2615119905775
08024000,-93.5644825783567,31.7693180497154
08024060,-93.4361054333256,31.5655910010657
08024400,-94.8328722638239,32.3855742692337
08024500,-93.9722636593088,31.4484541377082
08025500,-93.4346259900327,31.4296722377333
08028700,-93.4981576873134,30.7291496985083
08029500,-93.8606614798437,30.9652745196234
08030000,-93.9491235665994,30.5316165292755
08031000,-93.9496267994935,30.3221434496067
08039500,-94.6265681469014,31.6778086812331
08041500,-94.4597637556279,30.6616010935814
07366200,-92.7366061068367,33.0875997145385
07364150,-91.800495410376,33.9820966807833
07364500,-91.7273061786361,33.5748627369821
07368500,-91.4452287264976,32.8666388624191
07047600,-90.0321143357515,35.7075648107733
07355000,-92.7668459814624,31.256798950089
07368000,-91.5043117872913,33.2733402331292
07369500,-91.243188912083,32.6071941359046
07043000,-90.0061522501927,37.0242724576559
02466030,-87.1709105721893,33.6862166286527
07040000,-90.4790553683121,37.396528098227
07040100,-90.3879798047161,37.2591745527494
07040450,-90.3722195976873,36.9766180915835
07063000,-90.866694394918,37.2926971214627
07064000,-90.7440328326914,37.1310060362018
07068510,-90.7260355075267,36.7626209122535
07069000,-91.0265076681867,37.0086049165915
07069305,-91.7054172535404,36.5199925756973
07069500,-91.605357015229,36.4678760448048
07072500,-91.1860460594094,36.8636888171747
07073000,-91.8065683424723,36.2306176260614
07074000,-91.7158682256391,36.1729098575208
07074420,-91.2221632599591,36.7728776015776
07263000,-93.2048537531663,34.8422064816788
07263296,-92.8059923203034,34.8831190296302
07359002,-93.5284425814551,34.5835643035049
07360000,-93.4458950634677,34.5008554949033
07361000,-93.823569377254,34.2352994067362
07361500,-93.5021756166159,34.1904914198217
07362000,-93.3397324109444,34.1951659265452
07362641,-93.0635893933094,34.7198601459237
07362693,-92.9903233304545,34.7089121643451
07363000,-92.837752525605,34.6844459077605
07363200,-92.7089294813525,34.5067400264053
07047902,-90.1429205304759,36.510559237447
07047942,-90.8222427182377,35.4404822508178
07077555,-90.8198366518061,35.9289734878417
07077950,-91.0050702294855,34.8089458598804
07288280,-90.6339019655402,34.1415224458364
07288650,-90.8810652281395,33.7194907908974
0728875070,-91.0431370975634,33.5744427542818
07364133,-91.8860120590221,34.0767937993541
07367700,-91.4556593090853,33.5293970873508
07369680,-91.2823340027734,33.5912746663192
07370000,-91.3123467098298,33.3320287499528
02374250,-86.4736338716574,31.6403260582484
02374700,-87.0085888089017,31.3978446879913
02375500,-86.690389626453,31.5301410978964
02376033,-86.740161416609,31.4799759090121
02425000,-86.9994458336162,33.0453612347991
02429900,-88.4235102555976,34.6925711399509
02430000,-88.2884649394931,34.6206245947458
02435020,-88.7624228260744,34.4194538455997
02436500,-88.7799195110881,34.2706930040868
02439400,-88.0204234621837,34.0697036063216
02440000,-88.8860524343664,34.0126889402966
02440500,-88.8705519207806,33.8853151680648
02441390,-88.5118864583189,34.0635291637227
02442000,-87.8449025314627,33.8924959310805
02442500,-87.9018375736452,33.7681769982566
02443000,-87.9608942237355,33.7241817076799
02443500,-88.0628408306228,33.7219440106253
02444160,-88.4368566366533,33.9526600090476
02444500,-88.4320854692509,33.9281365640763
02446500,-87.7490640342865,33.7003716391548
02447025,-88.3381362244231,33.8350737561548
02448000,-88.8461487165487,33.2325996639945
02448500,-88.7543483610642,33.1628848681168
02449000,-88.3922409738111,33.7304533353601
02449245,-87.9445133545966,32.8823957782595
02464660,-87.6338463741525,33.3293628814095
02467000,-87.8984949458153,33.6420065554926
02469761,-87.9460555142698,33.4210531983461
02473000,-89.4855829558897,31.8061606787602
02473460,-89.1061163469176,32.0724410975854
02473500,-89.1058356488748,31.9660461392119
02474500,-89.1628095783515,31.819743651218
02474560,-89.3863880181809,31.7709881589519
02474600,-89.0118145954752,31.6685847884777
02475000,-89.2630912646337,31.6921296691538
02475500,-89.0659207393764,32.4273554198048
02476000,-88.8139910298165,32.5565963650075
02476500,-88.6370572186428,32.4213398861373
02477000,-88.910686646859,32.4341074519826
02477990,-88.5587513360129,32.0457187067316
02478500,-88.7552107175905,32.0502641770965
02479000,-89.0202139272629,31.8076475218536
02479130,-89.4327207845755,31.2010468952486
02479160,-89.2574081053877,31.1223979903586
02479310,-89.029677361305,31.6408888612025
02481880,-88.9900685691126,32.9573848664967
02482000,-89.0692287910631,32.883570008477
02482550,-89.1714322960897,32.8904955268667
02483000,-89.3126992417588,32.4879328486029
02484000,-89.3646074035703,33.195731051573
02484500,-89.4552049423244,33.0845188538078
02486000,-89.4217301383578,32.7456489455971
02487500,-89.7238188247506,32.1426124170754
02488000,-89.5984873336919,32.5432313180398
02488500,-89.6539684650827,32.4671457015967
02489000,-89.690503823038,32.3442171028723
02489500,-89.7029630980689,32.1840331222896
02490500,-90.3785261523551,31.3906821721649
02492000,-90.2432853976623,31.1569210635204
03382100,-88.8527086859494,37.6143412581498
03586500,-87.3311938089675,34.5501493444993
03589250,-87.5472887799333,34.7430599754136
03592000,-87.7576681356004,34.339606357368
03592200,-87.8080391749161,34.4957652409174
03592300,-87.8808866213391,34.4233241663412
03592500,-87.8622614071279,34.4347877654328
03605078,-88.1246001032604,36.0295179382545
03606500,-88.3199758489447,35.8665748647943
03610200,-88.3285273287469,36.5641011702456
03611260,-88.6953107589325,37.0030651782692
03611800,-88.8423435920639,37.0801496137228
